gaussian_x,gaussian_y,std_x,std_y,rotation,amplitude
0.15,0.15,0.075,0.0375,0.0,1.0
0.5,0.15,0.075,0.0375,0.0,1.0
0.85,0.15,0.075,0.0375,0.0,1.0
0.15,0.325,0.075,0.0375,0.0,1.0
0.5,0.325,0.075,0.0375,0.0,1.0
0.85,0.325,0.075,0.0375,0.0,1.0
0.15,0.5,0.075,0.0375,0.0,1.0
0.5,0.5,0.075,0.0375,0.0,1.0
0.85,0.5,0.075,0.0375,0.0,1.0
0.15,0.675,0.075,0.0375,0.0,1.0
0.5,0.675,0.075,0.0375,0.0,1.0
0.85,0.675,0.075,0.0375,0.0,1.0
0.15,0.85,0.075,0.0375,0.0,1.0
0.5,0.85,0.075,0.0375,0.0,1.0
0.85,0.85,0.075,0.0375,0.0,1.0

