gaussian_x,gaussian_y,std_x,std_y,rotation,amplitude
0.025000,0.125000,0.02,0.1004,0.0,0.99
0.025000,0.375000,0.02,0.1004,0.0,0.01
0.025000,0.625000,0.02,0.1004,0.0,0.01
0.025000,0.875000,0.02,0.1004,0.0,0.99
0.075000,0.125000,0.02,0.1004,0.0,0.01
0.075000,0.375000,0.02,0.1004,0.0,0.01
0.075000,0.625000,0.02,0.1004,0.0,0.01
0.075000,0.875000,0.02,0.1004,0.0,0.01
0.125000,0.125000,0.02,0.1004,0.0,0.01
0.125000,0.375000,0.02,0.1004,0.0,0.99
0.125000,0.625000,0.02,0.1004,0.0,0.01
0.125000,0.875000,0.02,0.1004,0.0,0.01
0.175000,0.125000,0.02,0.1004,0.0,0.01
0.175000,0.375000,0.02,0.1004,0.0,0.01
0.175000,0.625000,0.02,0.1004,0.0,0.99
0.175000,0.875000,0.02,0.1004,0.0,0.01
0.225000,0.125000,0.02,0.1004,0.0,0.01
0.225000,0.375000,0.02,0.1004,0.0,0.01
0.225000,0.625000,0.02,0.1004,0.0,0.01
0.225000,0.875000,0.02,0.1004,0.0,0.01
0.275000,0.125000,0.02,0.1004,0.0,0.99
0.275000,0.375000,0.02,0.1004,0.0,0.01
0.275000,0.625000,0.02,0.1004,0.0,0.01
0.275000,0.875000,0.02,0.1004,0.0,0.99
0.325000,0.125000,0.02,0.1004,0.0,0.99
0.325000,0.375000,0.02,0.1004,0.0,0.01
0.325000,0.625000,0.02,0.1004,0.0,0.01
0.325000,0.875000,0.02,0.1004,0.0,0.99
0.375000,0.125000,0.02,0.1004,0.0,0.01
0.375000,0.375000,0.02,0.1004,0.0,0.01
0.375000,0.625000,0.02,0.1004,0.0,0.01
0.375000,0.875000,0.02,0.1004,0.0,0.01
0.425000,0.125000,0.02,0.1004,0.0,0.01
0.425000,0.375000,0.02,0.1004,0.0,0.01
0.425000,0.625000,0.02,0.1004,0.0,0.01
0.425000,0.875000,0.02,0.1004,0.0,0.99
0.475000,0.125000,0.02,0.1004,0.0,0.01
0.475000,0.375000,0.02,0.1004,0.0,0.01
0.475000,0.625000,0.02,0.1004,0.0,0.99
0.475000,0.875000,0.02,0.1004,0.0,0.99
0.525000,0.125000,0.02,0.1004,0.0,0.01
0.525000,0.375000,0.02,0.1004,0.0,0.01
0.525000,0.625000,0.02,0.1004,0.0,0.01
0.525000,0.875000,0.02,0.1004,0.0,0.99
0.575000,0.125000,0.02,0.1004,0.0,0.01
0.575000,0.375000,0.02,0.1004,0.0,0.01
0.575000,0.625000,0.02,0.1004,0.0,0.01
0.575000,0.875000,0.02,0.1004,0.0,0.01
0.625000,0.125000,0.02,0.1004,0.0,0.99
0.625000,0.375000,0.02,0.1004,0.0,0.99
0.625000,0.625000,0.02,0.1004,0.0,0.99
0.625000,0.875000,0.02,0.1004,0.0,0.99
0.675000,0.125000,0.02,0.1004,0.0,0.99
0.675000,0.375000,0.02,0.1004,0.0,0.99
0.675000,0.625000,0.02,0.1004,0.0,0.99
0.675000,0.875000,0.02,0.1004,0.0,0.99
0.725000,0.125000,0.02,0.1004,0.0,0.01
0.725000,0.375000,0.02,0.1004,0.0,0.01
0.725000,0.625000,0.02,0.1004,0.0,0.01
0.725000,0.875000,0.02,0.1004,0.0,0.01
0.775000,0.125000,0.02,0.1004,0.0,0.99
0.775000,0.375000,0.02,0.1004,0.0,0.01
0.775000,0.625000,0.02,0.1004,0.0,0.01
0.775000,0.875000,0.02,0.1004,0.0,0.01
0.825000,0.125000,0.02,0.1004,0.0,0.99
0.825000,0.375000,0.02,0.1004,0.0,0.99
0.825000,0.625000,0.02,0.1004,0.0,0.01
0.825000,0.875000,0.02,0.1004,0.0,0.01
0.875000,0.125000,0.02,0.1004,0.0,0.99
0.875000,0.375000,0.02,0.1004,0.0,0.01
0.875000,0.625000,0.02,0.1004,0.0,0.01
0.875000,0.875000,0.02,0.1004,0.0,0.01
0.925000,0.125000,0.02,0.1004,0.0,0.01
0.925000,0.375000,0.02,0.1004,0.0,0.01
0.925000,0.625000,0.02,0.1004,0.0,0.01
0.925000,0.875000,0.02,0.1004,0.0,0.99
0.975000,0.125000,0.02,0.1004,0.0,0.01
0.975000,0.375000,0.02,0.1004,0.0,0.01
0.975000,0.625000,0.02,0.1004,0.0,0.99
0.975000,0.875000,0.02,0.1004,0.0,0.99
