gaussian_x,gaussian_y,std_x,std_y,rotation,amplitude
0.1250000,0.125000,0.086,0.085,0.0,0.99
0.1250000,0.375000,0.086,0.085,0.0,0.01
0.1250000,0.625000,0.086,0.085,0.0,0.01
0.1250000,0.875000,0.086,0.085,0.0,0.99
0.375000,0.125000,0.086,0.085,0.0,0.01
0.375000,0.375000,0.086,0.085,0.0,0.99
0.375000,0.625000,0.086,0.085,0.0,0.99
0.375000,0.875000,0.086,0.085,0.0,0.01
0.625000,0.125000,0.086,0.085,0.0,0.01
0.625000,0.375000,0.086,0.085,0.0,0.99
0.625000,0.625000,0.086,0.085,0.0,0.01
0.625000,0.875000,0.086,0.085,0.0,0.99
0.875000,0.125000,0.086,0.085,0.0,0.99
0.875000,0.375000,0.086,0.085,0.0,0.01
0.875000,0.625000,0.086,0.085,0.0,0.01
0.875000,0.875000,0.086,0.085,0.0,0.99
