time_s,body_mass,leg_mass,pos_x,pos_y,pos_z,rot_e0,rot_e1,rot_e2,rot_e3,vel_x,vel_y,vel_z,prev_wp_x,prev_wp_y,prev_wp_z,next_wp_x,next_wp_y,next_wp_z,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5
0,40,0.39,4.5,7.5,0.09,0.707107,-0,-0,-0.707107,0,0,0,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.004,40,0.39,4.5,7.5,0.089843,0.707107,0,0,-0.707107,0,0,-0.03924,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.008,40,0.39,4.5,7.5,0.0895291,0.707107,0,0,-0.707107,0,0,-0.07848,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.012,40,0.39,4.5,7.5,0.0890582,0.707107,0,0,-0.707107,0,0,-0.11772,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.016,40,0.39,4.5,7.5,0.0884304,0.707107,1.18208e-38,6.96584e-38,-0.707107,5.13535e-25,3.17826e-31,-0.15696,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.02,40,0.39,4.5,7.5,0.0876456,0.707107,-1.21e-37,3.66848e-37,-0.707107,-4.35831e-25,-2.69735e-31,-0.1962,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.024,40,0.39,4.5,7.5,0.0867038,0.707107,-6.88287e-38,4.77635e-37,-0.707107,5.91239e-25,3.65917e-31,-0.23544,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.028,40,0.39,4.5,7.5,0.0856051,0.707107,-1.76644e-37,7.48408e-37,-0.707107,5.91239e-25,3.65917e-31,-0.27468,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.032,40,0.39,4.5,7.5,0.0843591,0.707107,-1.71757e-05,-1.49745e-05,-0.707107,-4.33019e-25,-1.53495e-33,-0.311497,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.036,40,0.39,4.5,7.5,0.0830299,0.707107,9.20187e-07,4.11585e-06,-0.707107,2.79084e-07,4.07617e-06,-0.332299,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.04,40,0.39,4.5,7.5,0.0817337,0.707107,-6.07856e-05,-3.46552e-05,-0.707107,5.89067e-07,-7.67023e-06,-0.324066,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.044,40,0.39,4.5,7.5,0.0806046,0.707107,-0.000128523,-9.27077e-05,-0.707107,1.40814e-05,5.16487e-05,-0.282273,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.048,40,0.39,4.5,7.5,0.0796923,0.707107,-0.000121068,-0.000100113,-0.707107,2.27689e-05,0.000168774,-0.228061,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.052,40,0.39,4.5,7.5,0.0790246,0.707107,-7.4271e-05,-6.95417e-05,-0.707107,-7.67446e-05,0.000131585,-0.166927,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.056,40,0.39,4.5,7.5,0.0786326,0.707107,-8.24227e-05,-9.4696e-05,-0.707107,-0.000102263,-2.27027e-05,-0.0979996,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.06,40,0.39,4.5,7.5,0.0785139,0.707107,0.000104187,7.54277e-05,-0.707107,-0.000131615,5.24528e-05,-0.0296891,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.064,40,0.39,4.5,7.5,0.078611,0.707107,0.000129138,0.000101681,-0.707107,-0.000140189,-0.000210571,0.0242844,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.068,40,0.39,4.5,7.5,0.0787865,0.707107,-4.76131e-05,-7.84504e-05,-0.707107,-0.000122034,-0.000338335,0.043876,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.072,40,0.39,4.5,7.5,0.0790935,0.707107,-0.000124755,-0.000142542,-0.707107,-0.000121412,-7.95895e-05,0.076747,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.076,40,0.39,4.5,7.5,0.0794082,0.707107,-0.000100334,-8.64638e-05,-0.707107,-0.000105011,5.83482e-05,0.07868,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
0.08,40,0.39,4.5,7.5,0.0797526,0.707106,-1.27542e-05,3.35814e-05,-0.707107,-4.49824e-05,-8.21505e-05,0.0860842,4.5,7.5,0.09,4.5,-7.5,0,0,0,0,0,0,0
