time_s,body_mass,leg_mass,pos_x,pos_y,pos_z,rot_e0,rot_e1,rot_e2,rot_e3,vel_x,vel_y,vel_z,prev_wp_x,prev_wp_y,prev_wp_z,next_wp_x,next_wp_y,next_wp_z,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5
0,40,0.39,4.25,7.5,0.09,0.707107,-0,-0,-0.707107,0,0,0,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.004,40,0.39,4.25,7.5,0.089843,0.707107,0,0,-0.707107,0,0,-0.03924,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.008,40,0.39,4.25,7.5,0.0895291,0.707107,0,0,-0.707107,0,0,-0.07848,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.012,40,0.39,4.25,7.5,0.0890582,0.707107,0,0,-0.707107,0,0,-0.11772,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.016,40,0.39,4.25,7.5,0.0884304,0.707107,1.18208e-38,6.96584e-38,-0.707107,5.13535e-25,3.17826e-31,-0.15696,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.02,40,0.39,4.25,7.5,0.0876456,0.707107,-1.21e-37,3.66848e-37,-0.707107,-4.35831e-25,-2.69735e-31,-0.1962,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.024,40,0.39,4.25,7.5,0.0867038,0.707107,-6.88287e-38,4.77635e-37,-0.707107,5.91239e-25,3.65917e-31,-0.23544,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.028,40,0.39,4.25,7.5,0.0856051,0.707107,-1.76644e-37,7.48408e-37,-0.707107,5.91239e-25,3.65917e-31,-0.27468,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.032,40,0.39,4.25,7.5,0.0843544,0.707107,8.79286e-06,1.08056e-05,-0.707107,4.9385e-25,-6.46235e-27,-0.312688,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.036,40,0.39,4.25,7.5,0.0830003,0.707107,4.55024e-06,-2.20816e-06,-0.707107,1.86533e-07,-1.81629e-06,-0.338507,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.04,40,0.39,4.25,7.5,0.0817033,0.707107,-2.1372e-05,-3.40766e-05,-0.707107,-3.03287e-06,4.53605e-06,-0.324272,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.044,40,0.39,4.25,7.5,0.0805924,0.707107,-0.000157093,-0.000155091,-0.707107,-6.45846e-06,3.83458e-05,-0.277714,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.048,40,0.39,4.25,7.5,0.0796847,0.707107,-0.000165088,-0.000154934,-0.707107,2.60904e-06,0.000193521,-0.226918,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.052,40,0.39,4.25,7.5,0.0790755,0.707107,-9.82902e-05,-5.83969e-05,-0.707107,0.000138056,0.00021321,-0.152312,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
0.056,40,0.39,4.25,7.5,0.0787261,0.707107,-1.58198e-06,0.000106339,-0.707107,0.000170565,-9.35213e-06,-0.0873394,4.25,7.5,0.09,4.25,-7.5,0,0,0,0,0,0,0
