time_s,body_mass,leg_mass,pos_x,pos_y,pos_z,rot_e0,rot_e1,rot_e2,rot_e3,vel_x,vel_y,vel_z,prev_wp_x,prev_wp_y,prev_wp_z,next_wp_x,next_wp_y,next_wp_z,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5
0,100,0.39,-4.5,-7.5,0.09,0.707107,0,0,0.707107,0,0,0,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.004,100,0.39,-4.5,-7.5,0.089843,0.707107,-7.17845e-39,-2.95776e-38,0.707107,5.31148e-26,-3.28726e-32,-0.03924,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.008,100,0.39,-4.5,-7.5,0.0895291,0.707107,-1.43569e-38,-5.91552e-38,0.707107,5.31148e-26,-3.28726e-32,-0.07848,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.012,100,0.39,-4.5,-7.5,0.0890582,0.707107,-2.15353e-38,-8.87328e-38,0.707107,5.31148e-26,-3.28726e-32,-0.11772,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.016,100,0.39,-4.5,-7.5,0.0884304,0.707107,-2.87138e-38,-1.1831e-37,0.707107,5.31148e-26,-3.28726e-32,-0.15696,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.02,100,0.39,-4.5,-7.5,0.0876456,0.707107,-3.58922e-38,-1.47888e-37,0.707107,5.31148e-26,-3.28726e-32,-0.1962,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.024,100,0.39,-4.5,-7.5,0.0867038,0.707107,-4.30707e-38,-1.77466e-37,0.707107,5.31148e-26,-3.28726e-32,-0.23544,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.028,100,0.39,-4.5,-7.5,0.0856051,0.707107,-5.02491e-38,-2.07043e-37,0.707107,5.31148e-26,-3.28726e-32,-0.27468,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.032,100,0.39,-4.5,-7.5,0.0843514,0.707107,-6.3692e-06,7.97643e-06,0.707107,3.03254e-25,-8.07794e-28,-0.313423,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.036,100,0.39,-4.5,-7.5,0.0829718,0.707107,-3.32891e-06,1.25645e-06,0.707107,8.36027e-08,7.46208e-07,-0.344897,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.04,100,0.39,-4.5,-7.5,0.0814978,0.707107,-1.50653e-05,1.03597e-05,0.707107,-3.11946e-07,-3.04827e-07,-0.368506,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.044,100,0.39,-4.5,-7.5,0.0800066,0.707107,-2.75361e-05,2.83064e-05,0.707107,-1.0513e-06,5.57362e-06,-0.372816,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.048,100,0.39,-4.5,-7.5,0.0785862,0.707107,-0.00016225,9.09143e-05,0.707107,1.47912e-06,1.94415e-05,-0.3551,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.052,100,0.39,-4.5,-7.5,0.0773154,0.707107,-5.80094e-05,-4.82767e-05,0.707107,-3.40024e-05,0.000116142,-0.317683,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.056,100,0.39,-4.5,-7.5,0.0764712,0.707107,-0.000132812,4.26006e-05,0.707107,-7.3443e-05,-0.000173346,-0.211056,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.06,100,0.39,-4.5,-7.5,0.0762585,0.707107,0.000146868,-0.000194981,0.707107,-2.26915e-05,0.00029198,-0.0531859,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.064,100,0.39,-4.5,-7.5,0.0763961,0.707106,-0.000526724,0.000526699,0.707107,2.83904e-05,-0.000335505,0.0344052,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.068,100,0.39,-4.5,-7.5,0.0768152,0.707107,0.000131818,-6.05874e-05,0.707107,7.34341e-05,0.00099917,0.104773,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.072,100,0.39,-4.5,-7.5,0.0772902,0.707107,0.000270606,-0.000152782,0.707106,0.000112146,0.000285189,0.11876,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.076,100,0.39,-4.5,-7.5,0.0777016,0.707107,0.000254381,-9.86182e-05,0.707106,0.000167349,-2.25675e-05,0.102845,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.08,100,0.39,-4.5,-7.49999,0.078001,0.707107,0.000147777,2.94269e-05,0.707106,0.000226489,0.000107397,0.0748626,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.084,100,0.39,-4.5,-7.49999,0.0781707,0.707107,-4.53645e-05,0.000239607,0.707107,0.000231705,0.000198197,0.0424239,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.088,100,0.39,-4.5,-7.49999,0.0783673,0.707107,4.26713e-06,0.000177574,0.707107,0.000243243,0.000698623,0.0491347,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.092,100,0.39,-4.5,-7.49999,0.078487,0.707107,7.85492e-05,8.62475e-05,0.707107,0.000205112,0.000448715,0.0299322,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.096,100,0.39,-4.49999,-7.49999,0.0785259,0.707107,0.000131225,1.4625e-05,0.707107,0.000172758,0.000205734,0.00973297,-4.5,-7.5,0.09,-4.5,-3.5,0,0,0,0,0,0,0
0.1,100,0.39,-4.49999,-7.49999,0.0784637,0.707107,2.72198e-05,0.000131497,0.707107,0.000139968,3.06537e-05,-0.0155624,-4.5,-7.5,0.09,-4.5,-3.5,0,-200,-200,-200,-200,-200,-200
0.104,100,0.39,-4.49999,-7.49999,0.0783461,0.707103,0.00244831,-0.00229682,0.707102,0.000153026,0.000386898,-0.0294041,-4.5,-7.5,0.09,-4.5,-3.5,0,-200,-200,-200,-200,-200,-200
0.108,100,0.39,-4.49999,-7.50001,0.0786902,0.707095,0.0042376,-0.00410033,0.707094,0.000143819,-0.00528318,0.0860286,-4.5,-7.5,0.09,-4.5,-3.5,0,-200,-200,-200,-200,-200,-200
0.112,100,0.39,-4.49999,-7.50006,0.0795616,0.707088,0.0052658,-0.005059,0.707088,0.000106211,-0.0132149,0.217864,-4.5,-7.5,0.09,-4.5,-3.5,0,-200,-200,-200,-200,-200,-200
0.116,100,0.39,-4.49999,-7.50013,0.0806773,0.707074,0.00675853,-0.00648061,0.707077,0.000302383,-0.0183235,0.278917,-4.5,-7.5,0.09,-4.5,-3.5,0,-200,-200,-200,-200,-200,-200
0.12,100,0.39,-4.49999,-7.50024,0.0821309,0.70706,0.00810795,-0.00782491,0.707063,0.000458242,-0.0256408,0.36341,-4.5,-7.5,0.09,-4.5,-3.5,0,-200,-200,-200,-200,-200,-200
